Date,Name,Price,Category
1/1/2023,Groceries,100.0,Food
1/3/2023,Electricity,80.0,Utilities
1/6/2023,Internet,60.0,Utilities
1/8/2023,Rent,1200.0,Housing
1/10/2023,Transportation,150.0,Transportation
1/11/2023,Cell Phone,70.0,Utilities
1/15/2023,Medical Bills,200.0,Healthcare
1/16/2023,Gas,40.0,Transportation
1/18/2023,Insurance,100.0,Insurance
1/20/2023,Student Loan,250.0,Debt
1/25/2023,Water,40.0,Utilities
2/1/2023,Car Payment,300.0,Transportation
2/2/2023,Groceries,120.0,Food
2/5/2023,Internet,60.0,Utilities
2/8/2023,Rent,1200.0,Housing
2/10/2023,Transportation,150.0,Transportation
2/11/2023,Cell Phone,70.0,Utilities
2/15/2023,Medical Bills,220.0,Healthcare
2/16/2023,Gas,45.0,Transportation
2/18/2023,Insurance,100.0,Insurance
2/20/2023,Student Loan,250.0,Debt
2/25/2023,Water,45.0,Utilities
3/1/2023,Groceries,130.0,Food
3/3/2023,Electricity,85.0,Utilities
3/6/2023,Internet,60.0,Utilities
3/8/2023,Rent,1200.0,Housing
3/10/2023,Transportation,160.0,Transportation
3/11/2023,Cell Phone,70.0,Utilities
3/15/2023,Medical Bills,220.0,Healthcare
3/16/2023,Gas,45.0,Transportation
3/18/2023,Insurance,100.0,Insurance
3/20/2023,Student Loan,250.0,Debt
3/25/2023,Water,45.0,Utilities
